zp_m,df_hz
-3.7833480012732713e-07,-1.6727142337913392
-3.7830980042776881e-07,-1.673259930612403
-3.782848007282105e-07,-1.6651966916469974
-3.7825980102865218e-07,-1.6672586866661732
-3.7823480132909386e-07,-1.6515386391802167
-3.7820980162953555e-07,-1.652014702813176
-3.7818480192997723e-07,-1.6475951269967481
-3.7815980223041892e-07,-1.6348266740351391
-3.781348025308606e-07,-1.6324307239301561
-3.7810980283130229e-07,-1.6214414699788904
-3.7808480313174397e-07,-1.6114711343107047
-3.7805980343218566e-07,-1.6125909496622626
-3.7803480373262734e-07,-1.6123721024996485
-3.7800980403306902e-07,-1.615507017049822
-3.7798480433351071e-07,-1.605972954621393
-3.7795980463395239e-07,-1.6061463270489185
-3.7793480493439408e-07,-1.6064944929894409
-3.7790980523483576e-07,-1.5801049357833108
-3.7788480553527745e-07,-1.586839459832845
-3.7785980583571913e-07,-1.5746707049402175
-3.7783480613616082e-07,-1.5881639114923018
-3.778098064366025e-07,-1.5756228322061361
-3.7778480673704419e-07,-1.560982809678535
-3.7775980703748587e-07,-1.5733505165371753
-3.7773480733792755e-07,-1.5544202369710547
-3.7770980763836924e-07,-1.5600960523443064
-3.7768480793881092e-07,-1.5426508070959244
-3.7765980823925261e-07,-1.5466511626982538
-3.7763480853969429e-07,-1.550856154608482
-3.7760980884013598e-07,-1.5438089917552134
-3.7758480914057766e-07,-1.5272675568667182
-3.7755980944101935e-07,-1.5327984215218748
-3.7753480974146103e-07,-1.5024255617390736
-3.7750981004190272e-07,-1.5170144251897
-3.774848103423444e-07,-1.5080260595823347
-3.7745981064278608e-07,-1.5026387245598016
-3.7743481094322777e-07,-1.5087380234035663
-3.7740981124366945e-07,-1.4958004612708464
-3.7738481154411114e-07,-1.4939573134142847
-3.7735981184455282e-07,-1.4863289266031643
-3.7733481214499451e-07,-1.4854848018330813
-3.7730981244543619e-07,-1.467842025704158
-3.7728481274587788e-07,-1.4720527019562724
-3.7725981304631956e-07,-1.4869087294755445
-3.7723481334676125e-07,-1.484232825532672
-3.7720981364720293e-07,-1.4687586258332885
-3.7718481394764461e-07,-1.4661196701126755
-3.771598142480863e-07,-1.4664948366771569
-3.7713481454852798e-07,-1.4680722415505443
-3.7710981484896967e-07,-1.4574084161722567
-3.7708481514941135e-07,-1.4562118622052367
-3.7705981544985304e-07,-1.4510106893794728
-3.7703481575029472e-07,-1.4501011946776998
-3.7700981605073641e-07,-1.4342575127557211
-3.7698481635117809e-07,-1.4314963436845574
-3.7695981665161978e-07,-1.4303793705039425
-3.7693481695206146e-07,-1.4250659319259285
-3.7690981725250314e-07,-1.424015749762475
-3.7688481755294483e-07,-1.4349808452607249
-3.7685981785338651e-07,-1.4103306966717355
-3.768348181538282e-07,-1.4092833566792251
-3.7680981845426988e-07,-1.4044289287085121
-3.7678481875471157e-07,-1.4216112731446628
-3.7675981905515325e-07,-1.4043649798622937
-3.7673481935559494e-07,-1.3746458193963917
-3.7670981965603662e-07,-1.3799350995213899
-3.7668481995647831e-07,-1.3881020777262165
-3.7665982025691999e-07,-1.3917755836700962
-3.7663482055736167e-07,-1.382686320994253
-3.7660982085780336e-07,-1.3852442748429894
-3.7658482115824504e-07,-1.3777466278952488
-3.7655982145868673e-07,-1.3629730233333248
-3.7653482175912841e-07,-1.3770147688774159
-3.765098220595701e-07,-1.3540557119995356
-3.7648482236001178e-07,-1.354756307136995
-3.7645982266045347e-07,-1.3416894262263668
-3.7643482296089515e-07,-1.3417363220469269
-3.7640982326133684e-07,-1.333013699422736
-3.7638482356177852e-07,-1.3368023132898088
-3.763598238622202e-07,-1.3387591479840921
-3.7633482416266189e-07,-1.3413739452516893
-3.7630982446310357e-07,-1.3330222259355651
-3.7628482476354526e-07,-1.3280597954690165
-3.7625982506398694e-07,-1.3228032003098633
-3.7623482536442863e-07,-1.3322235759005707
-3.7620982566487031e-07,-1.3202210880081111
